iter	Passed	Remaining
0	184	147426
1	212	84871
2	240	63968
3	267	53256
4	294	46842
5	322	42629
6	349	39571
7	378	37452
8	405	35624
9	432	34200
10	460	33017
11	487	32012
12	514	31166
13	542	30444
14	570	29833
15	598	29318
16	626	28866
17	654	28453
18	682	28042
19	709	27677
20	736	27333
21	765	27087
22	793	26808
23	821	26559
24	848	26316
25	880	26213
26	909	26026
27	944	26052
28	975	25921
29	1007	25850
30	1034	25669
31	1062	25490
32	1090	25335
33	1116	25158
34	1143	24995
35	1170	24849
36	1198	24713
37	1225	24577
38	1252	24442
39	1279	24311
40	1309	24234
41	1337	24142
42	1364	24029
43	1391	23916
44	1419	23817
45	1446	23707
46	1474	23619
47	1501	23525
48	1529	23434
49	1556	23348
50	1583	23258
51	1610	23168
52	1638	23097
53	1665	23012
54	1693	22936
55	1721	22873
56	1749	22806
57	1776	22728
58	1804	22664
59	1832	22596
60	1859	22523
61	1888	22484
62	1922	22488
63	1957	22515
64	1992	22529
65	2032	22598
66	2068	22631
67	2103	22643
68	2135	22626
69	2169	22629
70	2198	22568
71	2224	22493
72	2234	22254
73	2261	22191
74	2291	22150
75	2318	22089
76	2347	22039
77	2374	21977
78	2402	21922
79	2428	21857
80	2455	21794
81	2482	21737
82	2509	21681
83	2537	21632
84	2564	21574
85	2591	21514
86	2619	21466
87	2646	21415
88	2673	21356
89	2700	21307
90	2728	21255
91	2754	21198
92	2781	21147
93	2811	21114
94	2838	21063
95	2865	21012
96	2874	20832
97	2901	20787
98	2931	20759
99	2961	20729
100	2987	20677
101	3014	20631
102	3042	20591
103	3070	20546
104	3099	20514
105	3128	20480
106	3156	20445
107	3186	20414
108	3213	20372
109	3240	20327
110	3254	20200
111	3281	20156
112	3307	20109
113	3334	20066
114	3345	19926
115	3372	19883
116	3399	19843
117	3426	19803
118	3454	19767
119	3481	19728
120	3508	19689
121	3536	19651
122	3564	19617
123	3590	19574
124	3617	19532
125	3646	19507
126	3673	19464
127	3699	19422
128	3708	19292
129	3735	19251
130	3763	19221
131	3791	19184
132	3820	19158
133	3847	19121
134	3874	19086
135	3902	19054
136	3932	19032
137	3960	19000
138	3988	18969
139	4011	18911
140	4037	18872
141	4065	18838
142	4093	18808
143	4120	18770
144	4147	18735
145	4175	18704
146	4204	18677
147	4214	18567
148	4244	18543
149	4273	18519
150	4302	18493
151	4329	18457
152	4356	18423
153	4382	18384
154	4410	18353
155	4428	18281
156	4454	18245
157	4481	18210
158	4508	18176
159	4535	18141
160	4563	18111
161	4590	18077
162	4617	18044
163	4643	18009
164	4670	17972
165	4697	17940
166	4724	17909
167	4751	17873
168	4777	17839
169	4807	17815
170	4834	17782
171	4861	17749
172	4888	17716
173	4915	17683
174	4944	17658
175	4971	17627
176	4998	17594
177	5026	17564
178	5053	17531
179	5080	17500
180	5108	17469
181	5117	17375
182	5144	17345
183	5171	17312
184	5197	17279
185	5224	17247
186	5266	17262
187	5299	17250
188	5327	17223
189	5360	17210
190	5390	17189
191	5421	17167
192	5448	17134
193	5475	17104
194	5502	17072
195	5529	17041
196	5557	17011
197	5584	16979
198	5611	16947
199	5638	16915
200	5665	16884
201	5693	16854
202	5720	16823
203	5747	16791
204	5775	16763
205	5803	16734
206	5830	16703
207	5858	16673
208	5886	16644
209	5912	16612
210	5941	16585
211	5969	16555
212	5995	16523
213	6022	16492
214	6049	16459
215	6076	16428
216	6104	16399
217	6130	16367
218	6157	16335
219	6186	16309
220	6213	16278
221	6240	16248
222	6267	16217
223	6295	16187
224	6322	16158
225	6350	16129
226	6377	16097
227	6404	16068
228	6432	16039
229	6461	16013
230	6490	15987
231	6520	15963
232	6553	15947
233	6584	15925
234	6611	15896
235	6639	15867
236	6666	15836
237	6694	15807
238	6722	15779
239	6749	15749
240	6776	15718
241	6804	15690
242	6835	15667
243	6863	15639
244	6890	15609
245	6919	15583
246	6947	15554
247	6974	15523
248	7003	15497
249	7031	15469
250	7058	15438
251	7086	15409
252	7113	15380
253	7140	15349
254	7168	15320
255	7195	15289
256	7222	15260
257	7250	15231
258	7277	15201
259	7304	15171
260	7333	15144
261	7360	15114
262	7387	15083
263	7415	15056
264	7444	15029
265	7472	15001
266	7500	14973
267	7529	14946
268	7558	14919
269	7589	14897
270	7620	14874
271	7651	14852
272	7678	14822
273	7705	14791
274	7732	14761
275	7759	14732
276	7786	14701
277	7814	14673
278	7842	14645
279	7870	14616
280	7898	14587
281	7926	14559
282	7953	14529
283	7983	14505
284	8012	14478
285	8040	14449
286	8071	14427
287	8100	14400
288	8128	14372
289	8158	14347
290	8186	14318
291	8213	14289
292	8241	14261
293	8269	14232
294	8297	14203
295	8324	14173
296	8351	14144
297	8379	14115
298	8406	14086
299	8433	14055
300	8460	14026
301	8487	13996
302	8515	13967
303	8547	13946
304	8590	13941
305	8618	13913
306	8646	13884
307	8674	13856
308	8704	13830
309	8734	13805
310	8764	13780
311	8792	13753
312	8820	13723
313	8847	13693
314	8874	13664
315	8901	13634
316	8931	13608
317	8958	13578
318	8985	13548
319	9013	13519
320	9041	13491
321	9069	13463
322	9098	13435
323	9125	13407
324	9153	13377
325	9182	13350
326	9211	13323
327	9238	13294
328	9265	13264
329	9292	13235
330	9319	13204
331	9346	13175
332	9374	13146
333	9400	13116
334	9427	13086
335	9455	13057
336	9483	13028
337	9510	12999
338	9537	12969
339	9563	12939
340	9591	12910
341	9618	12880
342	9645	12851
343	9676	12826
344	9703	12797
345	9730	12767
346	9757	12738
347	9786	12711
348	9815	12684
349	9844	12657
350	9876	12634
351	9906	12608
352	9935	12580
353	9962	12551
354	9990	12523
355	10018	12494
356	10045	12465
357	10073	12436
358	10100	12407
359	10128	12378
360	10155	12349
361	10182	12320
362	10211	12292
363	10238	12264
364	10265	12234
365	10294	12206
366	10322	12178
367	10349	12149
368	10379	12122
369	10407	12095
370	10435	12067
371	10462	12037
372	10489	12008
373	10517	11979
374	10544	11950
375	10571	11921
376	10598	11891
377	10625	11862
378	10652	11833
379	10679	11803
380	10707	11775
381	10735	11746
382	10762	11717
383	10789	11689
384	10818	11661
385	10846	11632
386	10874	11604
387	10903	11578
388	10934	11553
389	10965	11527
390	10994	11500
391	11022	11472
392	11049	11443
393	11076	11413
394	11103	11384
395	11131	11356
396	11159	11328
397	11186	11299
398	11214	11270
399	11240	11240
400	11268	11212
401	11296	11183
402	11323	11154
403	11351	11126
404	11378	11097
405	11405	11068
406	11432	11039
407	11459	11009
408	11487	10981
409	11514	10952
410	11542	10924
411	11569	10895
412	11598	10868
413	11625	10838
414	11652	10810
415	11680	10781
416	11707	10753
417	11735	10724
418	11762	10695
419	11789	10666
420	11818	10639
421	11844	10609
422	11872	10581
423	11901	10554
424	11928	10524
425	11956	10496
426	11983	10468
427	12012	10441
428	12044	10416
429	12074	10390
430	12104	10363
431	12132	10335
432	12190	10332
433	12218	10303
434	12247	10276
435	12274	10247
436	12301	10218
437	12329	10189
438	12357	10161
439	12383	10132
440	12411	10103
441	12439	10075
442	12466	10046
443	12494	10017
444	12522	9989
445	12551	9962
446	12584	9938
447	12612	9909
448	12639	9880
449	12667	9852
450	12694	9823
451	12722	9795
452	12749	9766
453	12777	9737
454	12805	9709
455	12835	9682
456	12862	9653
457	12889	9625
458	12916	9596
459	12943	9567
460	12971	9538
461	12998	9509
462	13025	9480
463	13054	9453
464	13086	9427
465	13114	9399
466	13142	9371
467	13170	9342
468	13197	9313
469	13224	9285
470	13252	9256
471	13287	9233
472	13324	9211
473	13353	9183
474	13379	9154
475	13408	9126
476	13435	9098
477	13463	9069
478	13492	9042
479	13520	9013
480	13547	8984
481	13574	8955
482	13601	8926
483	13628	8898
484	13656	8869
485	13683	8841
486	13711	8812
487	13739	8784
488	13767	8755
489	13794	8726
490	13823	8699
491	13850	8670
492	13878	8642
493	13906	8613
494	13936	8587
495	13976	8566
496	14006	8539
497	14034	8510
498	14061	8482
499	14088	8453
500	14116	8424
501	14144	8396
502	14173	8369
503	14203	8341
504	14233	8314
505	14261	8286
506	14288	8257
507	14316	8229
508	14343	8200
509	14370	8171
510	14397	8142
